序号,所用时间,1、你有计划/打算在大学生活中去培养一些艺术方面的爱好或者特长吗,2、你现在有艺术方面的爱好或者特长吗,3、如果你现在可以拿到任意一种乐器，你想玩儿什么,4、如果你现在拿到一种乐器，让你随意玩/探索，你会不知所措吗,5、如果现在你拿到了一张白纸，需要你随意画画，你会有画什么的想法吗,6、你会对什么形式或者类别的艺术活动产生冲动,7、您现在渴望抽出时间去参与艺术活动吗,8、你幻想过自己以某种艺术家的生活方式过日子吗,9、您的年级,10、您的专业类别,11、您的性别,12、你日常有什么与艺术相关的活动，休闲方式或小兴趣来调节你的状态
142,129秒,有,有,我想玩〖手风琴〗,不会,我想画〖美少女〗,会〖音乐剧快闪〗,渴望,幻想过这种生活〖不用996还可以做喜欢的事〗,大一,非艺术类专业,女,看音乐剧，偶尔练练很久没碰的乐器
143,165秒,有,有,我想玩〖钢琴〗,不会,我想画〖帅哥〗,会〖艺术展览/教学〗,渴望,无,大一,非艺术类专业,女,听歌
144,687秒,有,有,我想玩〖键盘〗,不会,没有,会〖音乐，影像〗,渴望,幻想过这种生活〖摄影师。音乐制作人。歌手。〗,大一,非艺术类专业,男,摄影。
145,53秒,有,无,我想玩〖吉他〗,不会,没有,会〖唱歌〗,渴望,无,大二,非艺术类专业,男,无
146,87秒,有,有,我想玩〖钢琴〗,会,没有,茫然,渴望,无,大一,非艺术类专业,女,唱歌 跳舞
147,165秒,无,无,我想玩〖钢琴〗,不会,我想画〖思维导图〗,会〖音乐剧〗,渴望,无,大四,非艺术类专业,女,偶尔去看艺术相关的展览
148,66秒,有,有,茫然,会,没有,茫然,渴望,无,大一,非艺术类专业,女,听音乐
149,65秒,有,有,我想玩〖吉他〗,会,我想画〖正太〗,会〖舞蹈〗,渴望,无,大一,非艺术类专业,男,跳舞
150,113秒,有,有,我想玩〖口琴〗,不会,我想画〖我老婆〗,会〖行为艺术 音乐 美术 建筑 但冲动是什么〗,渴望,幻想过这种生活〖当个画家那种〗,大一,非艺术类专业,女,看展 摸鱼
151,33秒,有,有,茫然,不会,没有,茫然,不会,无,大二,非艺术类专业,女,唱歌
152,69秒,有,有,我想玩〖贝斯〗,不会,我想画〖乱七八糟的〗,会〖音乐 舞蹈 美术〗,渴望,无,大一,非艺术类专业,女,组乐队 看演出
153,117秒,有,无,我想玩〖吉他〗,不会,我想画〖玫瑰〗,会〖文学电影音乐美术〗,渴望,幻想过这种生活〖浪漫的理想主义〗,大一,非艺术类专业,男,看电影，演出，戏剧，交响乐
154,141秒,有,有,我想玩〖巴乌〗,不会,我想画〖天空〗,会〖印象派〗,渴望,幻想过这种生活〖业余画者〗,大一,非艺术类专业,女,画，阅读，看电影
155,121秒,无,有,我想玩〖古筝〗,不会,我想画〖线〗,会〖几乎所有〗,渴望,无,大三,非艺术类专业,男,放空
156,192秒,有,有,我想玩〖二胡〗,不会,没有,会〖古典音乐演出、音乐剧演出〗,渴望,幻想过这种生活〖与懂艺术的人一起〗,大二,非艺术类专业,女,民乐团
157,74秒,有,有,我想玩〖架子鼓〗,会,没有,茫然,渴望,无,大二,非艺术类专业,男,无
158,99秒,有,有,我想玩〖钢琴〗,不会,我想画〖小人〗,会〖动漫音乐鉴赏〗,渴望,无,大二,非艺术类专业,男,听歌
159,313秒,有,无,我想玩〖吉他〗,会,我想画〖在华科的道路上向上看的天空〗,茫然,渴望,幻想过这种生活〖插插花，经营自己的小花园，画画，弹曲子，写写诗，烧菜，做甜品（凡是给人带来美的感觉的都算艺术）〗,大一,非艺术类专业,女,读书，写诗，摄影去美术馆，博物馆，参加学校的音乐会，想要抽出时间画画，练字
160,85秒,有,无,我想玩〖吉他〗,会,我想画〖森林〗,茫然,渴望,无,大二,非艺术类专业,男,画画
161,121秒,有,有,我想玩〖尤克里里〗,不会,我想画〖梵高的星空〗,会〖画展和小型音乐会〗,渴望,幻想过这种生活〖不完全是〗,大一,非艺术类专业,女,油画
162,90秒,无,无,我想玩〖钢琴〗,会,没有,会〖音乐〗,渴望,幻想过这种生活〖幻想过自己是一位天才画家或歌手〗,大一,非艺术类专业,男,听歌
163,88秒,无,无,茫然,不会,我想画〖画张白纸〗,茫然,不会,幻想过这种生活〖梦里〗,大二,非艺术类专业,男,无
164,121秒,有,有,茫然,会,没有,会〖艺术展〗,渴望,幻想过这种生活〖每天画画〗,大四以上,艺术类专业,女,看展览、看豆瓣小组、结合实际生活进行讨论和思考
165,212秒,有,无,茫然,不会,没有,会〖音乐，绘画〗,渴望,幻想过这种生活〖能每天不被没意思的思考拖累〗,大一,非艺术类专业,男,"看各种的舞台表演
闲暇去美术馆
欣赏一些音乐和文学作品"
166,150秒,有,有,我想玩〖笛子〗,不会,我想画〖我老婆张哲瀚〗,会〖各种〗,渴望,幻想过这种生活〖我现在就挺艺术的〗,大一,艺术类专业,女,作业就是艺术有关的，休闲方式就是看张哲瀚，有空的话会画画他
167,57秒,有,有,我想玩〖小提琴〗,不会,没有,会〖话剧〗,渴望,无,大一,非艺术类专业,男,无
168,187秒,有,有,我想玩〖钢琴〗,不会,我想画〖鱼，天空〗,会〖音乐剧，画展，话剧，音乐会〗,渴望,幻想过这种生活〖在一个被阳光铺满的，种满花草的小庭院里画画〗,大二,非艺术类专业,女,唱歌，画画
169,67秒,有,无,茫然,会,我想画〖星空〗,茫然,渴望,无,大一,非艺术类专业,男,无
170,105秒,有,有,我想玩〖口琴〗,会,我想画〖三角形〗,会〖合唱〗,渴望,幻想过这种生活〖诗人〗,大二,非艺术类专业,男,哼哼小曲儿，练练口琴
171,98秒,有,有,我想玩〖几天〗,不会,没有,会〖美图绘制〗,渴望,无,大二,非艺术类专业,男,学吉他新曲子
172,89秒,有,有,我想玩〖吉他〗,不会,没有,会〖音乐〗,渴望,幻想过这种生活〖想做一个吉他手，偶尔表演，大部分时间宅在家里自个弹〗,大二,非艺术类专业,男,听歌唱歌
173,57秒,有,无,我想玩〖钢琴〗,会,没有,会〖高雅艺术〗,渴望,幻想过这种生活〖钢琴家〗,大二,非艺术类专业,男,在宿舍练舍友的琴
174,197秒,有,有,我想玩〖口琴〗,会,我想画〖搁浅的船〗,会〖戏剧〗,渴望,幻想过这种生活〖小木屋画画画画〗,大二,艺术类专业,男,无
175,80秒,有,有,我想玩〖钢琴〗,不会,我想画〖星空〗,会〖录专辑〗,渴望,幻想过这种生活〖写出有深度的作品〗,大一,非艺术类专业,男,练琴，写歌，录歌
176,86秒,有,有,我想玩〖卡祖笛〗,不会,我想画〖树〗,会〖相声〗,渴望,幻想过这种生活〖乐手〗,大二,非艺术类专业,女,livehouse
177,100秒,有,无,我想玩〖萨克斯〗,不会,没有,会〖电影〗,渴望,幻想过这种生活〖当灵感出现，可以随心所欲的记录下来，不会担心被否定〗,大二,非艺术类专业,女,做视频，有尝试在学做音乐，学乐理
178,117秒,有,有,我想玩〖钢琴〗,会,我想画〖很有意境的小场景〗,会〖话剧〗,渴望,幻想过这种生活〖画家〗,大三,艺术类专业,女,画画 唱歌 逛展 逛公园
179,53秒,有,无,我想玩〖吉他〗,会,我想画〖简笔〗,茫然,不会,无,大二,非艺术类专业,男,听歌，哼唱
180,97秒,有,有,我想玩〖小提琴〗,不会,没有,会〖写诗〗,渴望,幻想过这种生活〖音乐家 街舞人 诗人〗,大二,非艺术类专业,男,跳舞 写诗
181,164秒,有,无,我想玩〖bass〗,会,我想画〖不知不觉不知不觉画成你的模样我的模样〗,会〖livehouse音乐节〗,渴望,幻想过这种生活〖躺在屋顶上晒太阳 看书〗,大二,非艺术类专业,女,校园音乐节东操音乐会
182,101秒,有,有,我想玩,不会,我想画〖antisocial〗,会〖不尬的〗,渴望,幻想过这种生活〖可以没必要〗,大一,艺术类专业,男,脱离现实
183,177秒,有,有,我想玩〖吉他〗,不会,我想画〖朋友的卡通形象〗,会〖舞蹈类，声乐器乐类，绘画类〗,渴望,幻想过这种生活〖泡画室 写生或者泡舞房〗,大一,非艺术类专业,女,"跳舞（爵士） 偶尔画画（彩铅，水彩） 唱歌
偶尔刻橡皮章做手工什么的"
184,88秒,有,无,茫然,会,没有,茫然,渴望,幻想过这种生活〖做文字创作工作〗,大二,非艺术类专业,男,阅读，听音乐，看电影
185,72秒,有,有,我想玩〖古筝〗,不会,我想画〖小人〗,会〖插画原画〗,渴望,幻想过这种生活〖插画师〗,大二,艺术类专业,女,接单画画赚钱，看动画片
186,43秒,有,有,茫然,会,我想画〖妹妹〗,会〖行为〗,渴望,无,大一,艺术类专业,女,睡觉
187,65秒,有,有,我想玩〖笛子〗,会,我想画〖涂鸦〗,会〖舞蹈〗,渴望,无,大四,艺术类专业,男,排球/羽毛球
188,130秒,有,有,我想玩〖笛子〗,不会,我想画〖树，人，山河，星海〗,茫然,渴望,无,大二,非艺术类专业,男,学戏
189,152秒,有,无,茫然,不会,没有,茫然,渴望,无,大四以上,非艺术类专业,女,看画展
190,94秒,有,无,我想玩〖尤克里里〗,会,我想画〖线条〗,会〖美术馆展览〗,渴望,无,大二,非艺术类专业,男,逛美术馆，博物馆，艺术展
191,42秒,无,无,茫然,不会,没有,茫然,不会,无,大二,非艺术类专业,男,打游戏
192,141秒,有,有,我想玩〖钢琴〗,不会,我想画〖拿起笔就会有感觉的〗,会〖弹琴〗,渴望,幻想过这种生活〖写作者/音乐人〗,大二,非艺术类专业,女,听点音乐其他没有
193,58秒,有,无,我想玩〖钢琴〗,不会,我想画〖啥都可以〗,会〖音乐〗,渴望,无,大二,非艺术类专业,女,p图
194,82秒,有,无,我想玩〖钢琴〗,不会,我想画〖圈〗,会〖音乐〗,渴望,无,大一,非艺术类专业,男,听歌
195,103秒,有,有,我想玩〖钢琴〗,不会,我想画〖纸片人〗,会〖同人创作〗,渴望,幻想过这种生活〖插画家〗,大二,艺术类专业,男,临摹插画，弹琴解压
196,91秒,无,无,我想玩〖吉他〗,不会,我想画〖二次元〗,会〖番〗,不会,无,大二,非艺术类专业,男,看番
197,71秒,有,有,我想玩〖钢琴〗,会,我想画〖喜欢的女孩〗,会〖情感强烈的〗,不会,无,大二,非艺术类专业,男,唱歌，弹吉他
198,433秒,有,有,我想玩〖卡祖笛〗,不会,我想画〖聪明天才小艺术家的抽象大作〗,会〖梵高的画展/好听的乐队路演/街头卖艺（指画肖像）〗,渴望,幻想过这种生活〖我就是聪明天才小艺术家〗,大一,艺术类专业,女,"用QQ的绘图画意义不明的抽象线描发出去骚扰朋友
摄影，抠图
拿木质铅笔画图（很爽，自动铅笔太烂了）
偶尔来感觉了玩玩procreate"
199,119秒,有,无,我想玩〖吉他〗,会,我想画〖山水〗,会〖书法，摄影〗,渴望,幻想过这种生活〖文人墨客〗,大四,非艺术类专业,男,拍照，写日记，看课外书
200,83秒,有,有,我想玩〖架子鼓〗,不会,没有,茫然,渴望,无,大三,非艺术类专业,男,跳舞
201,72秒,无,无,茫然,会,我想画〖火柴人〗,会〖拼贴诗〗,不会,无,大二,非艺术类专业,女,如果看看书算艺术的话，
202,59秒,有,无,我想玩〖尤克里里〗,会,我想画〖油画〗,茫然,渴望,无,大三,非艺术类专业,女,逛艺术馆
203,114秒,有,有,我想玩〖架子鼓〗,会,我想画〖随便画〗,会〖有互动热闹的有活力的〗,渴望,幻想过这种生活〖小说家/音乐家〗,大四,非艺术类专业,女,听音乐
204,97秒,有,有,我想玩〖架子鼓〗,会,没有,会〖歌剧 话剧 音乐会 演唱会〗,渴望,无,大三,非艺术类专业,女,听歌
205,82秒,有,有,茫然,会,我想画〖随便画〗,茫然,渴望,无,大二,艺术类专业,女,无
206,106秒,有,有,我想玩〖长笛〗,会,我想画〖无垠星空〗,会〖雕塑（可能）〗,不会,无,大三,非艺术类专业,男,无
207,112秒,有,无,我想玩〖钢琴〗,会,没有,会〖表演〗,渴望,幻想过这种生活〖画家，钢琴家〗,大一,非艺术类专业,女,听歌，看电影，看书
208,173秒,有,有,我想玩〖吉他〗,不会,我想画〖小动物〗,会〖摄影，音乐，看艺术展，音乐剧等等等〗,渴望,幻想过这种生活〖但艺术家生活多少脱离实际，在我看来是一种乌托邦式的生活，正如月亮与六便士中的主人公，他追求他的理想，如果没有书中“我”的支持是不可能的〗,大三,非艺术类专业,女,看展，摄影
209,74秒,有,有,我想玩〖鼓〗,会,我想画〖漫画〗,会〖所有〗,渴望,幻想过这种生活〖乐队鼓手〗,大四以上,非艺术类专业,女,livehouse看演出
210,43秒,无,无,茫然,不会,没有,会〖古典乐〗,渴望,无,大四,非艺术类专业,男,唱歌
211,58秒,有,有,我想玩〖架子鼓〗,不会,我想画〖油画〗,会〖油画〗,渴望,无,大四以上,非艺术类专业,男,吹萨克斯
212,307秒,有,有,我想玩〖吉他〗,不会,我想画〖画我未来的女朋友〗,会〖演唱会，顺便说一下我喜欢肥陈的演唱会〗,渴望,幻想过这种生活〖吉他手很帅〗,大二,非艺术类专业,男,只有听歌和上b站看演唱会
213,131秒,有,有,茫然,不会,没有,会〖摄影吧，适合我不会画画的人哈哈哈〗,渴望,幻想过这种生活〖自由摄影〗,大四以上,非艺术类专业,男,摄影
214,187秒,有,有,茫然,不会,没有,会〖现场音乐会〗,不会,无,大一,非艺术类专业,男,听音乐
215,90秒,有,有,茫然,会,我想画〖房子〗,会〖美学〗,渴望,幻想过这种生活〖钢琴家〗,大三,非艺术类专业,女,画画，书法
216,135秒,有,有,我想玩〖钢琴〗,会,没有,茫然,渴望,幻想过这种生活〖街头〗,大四以上,非艺术类专业,男,唱歌
217,111秒,有,有,我想玩〖钢琴〗,不会,没有,茫然,渴望,幻想过这种生活〖戏剧〗,大一,非艺术类专业,女,钢琴声乐
218,58秒,无,无,茫然,会,没有,茫然,不会,无,大一,非艺术类专业,男,无
219,53秒,有,无,茫然,不会,我想画〖很多〗,会〖绘画设计〗,渴望,幻想过这种生活〖很快乐〗,大一,非艺术类专业,男,画画
220,47秒,有,无,我想玩〖吉他〗,会,没有,茫然,不会,无,大一,非艺术类专业,男,听音乐
221,65秒,有,无,我想玩〖吉他〗,不会,我想画〖漫画人物，游戏人物〗,会〖漫展，游戏〗,渴望,无,大一,非艺术类专业,男,听歌
222,63秒,有,有,我想玩〖口琴〗,会,没有,茫然,渴望,幻想过这种生活〖旅行〗,大一,非艺术类专业,男,电影戏剧
223,82秒,有,有,茫然,会,我想画〖美少女〗,茫然,不会,幻想过这种生活〖插画家〗,大一,非艺术类专业,女,画画
224,60秒,有,有,我想玩〖吉他〗,会,我想画〖画可爱的简笔画〗,茫然,不会,无,大一,非艺术类专业,女,画画 唱歌
225,97秒,有,有,茫然,不会,没有,会〖绘画〗,渴望,幻想过这种生活〖画家〗,大一,非艺术类专业,男,无
226,62秒,有,有,我想玩〖吉他〗,不会,我想画〖鬼魅〗,会〖游戏〗,渴望,幻想过这种生活〖自由设计〗,大一,非艺术类专业,男,看展，看live，弹吉他，画画，打游戏
227,98秒,有,有,我想玩〖小提琴〗,不会,我想画〖画动漫人物〗,会〖乐器和美术〗,渴望,无,大一,非艺术类专业,男,临摹，画画
228,66秒,有,无,茫然,会,我想画〖方舟干员〗,会〖DJ〗,渴望,无,大一,非艺术类专业,男,网抑云
229,64秒,有,有,茫然,不会,我想画〖人〗,茫然,渴望,幻想过这种生活,大一,非艺术类专业,女,看电视
230,129秒,有,有,我想玩〖衣架〗,会,我想画〖头发〗,会〖漫展〗,渴望,无,大一,非艺术类专业,女,画画
231,117秒,有,有,我想玩〖架子鼓〗,不会,我想画〖蘑菇兔子〗,会〖看画展，绘画〗,渴望,幻想过这种生活〖作家或者画家〗,大一,非艺术类专业,女,绘画或者乐器，或者看书，看国家地理杂志
232,168秒,有,有,我想玩〖双簧管〗,不会,没有,会〖音乐会〗,渴望,幻想过这种生活〖音乐家、作家〗,大一,非艺术类专业,男,听音乐、读诗、古文、赏画、听讲座
233,75秒,有,有,我想玩〖口琴〗,会,没有,会〖展览〗,渴望,无,大一,非艺术类专业,男,吹口琴
234,99秒,有,无,茫然,会,没有,茫然,渴望,无,大一,非艺术类专业,女,唱歌
235,102秒,有,无,我想玩〖吉他〗,不会,我想画〖Q版的小动物〗,茫然,不会,无,大一,非艺术类专业,女,PS，听歌
236,134秒,有,有,我想玩〖吉他〗,不会,我想画〖宝宝〗,会〖音乐戏剧绘画〗,渴望,幻想过这种生活〖高贵画家〗,大一,非艺术类专业,女,欣赏音乐，戏剧与画作
237,53秒,无,无,茫然,会,没有,茫然,不会,无,大一,非艺术类专业,男,读书
238,117秒,有,有,我想玩〖小提琴〗,不会,我想画〖任意立绘〗,会〖〗,渴望,无,大一,非艺术类专业,男,钢琴，手绘
239,51秒,有,无,我想玩〖吉他〗,会,我想画〖抽象画〗,会〖古筝〗,渴望,无,大二,非艺术类专业,女,看书算或者画画
240,79秒,有,有,我想玩〖吉他〗,不会,我想画〖一个短发妹子〗,会〖画画，歌唱，器乐，舞蹈〗,渴望,幻想过这种生活〖画画弹琴旅行〗,大二,非艺术类专业,女,画画弹吉他唱歌
241,56秒,有,有,我想玩〖吉他〗,会,没有,会〖绘画〗,渴望,无,大二,非艺术类专业,女,听音乐
242,43秒,无,无,我想玩〖吉他〗,会,我想画〖美女〗,茫然,不会,无,大二,非艺术类专业,女,听歌
243,86秒,有,无,我想玩〖吉他〗,会,我想画〖人〗,茫然,渴望,幻想过这种生活〖画家、摄影家〗,大二,非艺术类专业,女,听歌，弹吉他
244,124秒,有,有,茫然,不会,我想画〖猪兔〗,会〖街头涂鸦〗,渴望,无,大二,非艺术类专业,女,会收藏一些艺术馆的链接，在放松的时候云观赏
245,223秒,有,有,我想玩〖架子鼓〗,会,我想画〖月亮，星星，宇宙，和我〗,会〖展览和音乐剧〗,渴望,幻想过这种生活〖坐在属于我的温馨可爱的工作室里画画，设计，无人打扰，在黄昏中落笔，在雨天泡杯咖啡看电影，在月明时抱着摄像机……〗,大二,非艺术类专业,女,听音乐哼歌，画画涂色，看喜欢绘本小说，和朋友随便写写东西
246,60秒,有,无,我想玩〖钢琴〗,会,没有,茫然,不会,无,大二,非艺术类专业,女,听歌
247,99秒,有,无,茫然,不会,我想画〖太阳〗,会〖livehouse〗,渴望,无,大二,非艺术类专业,女,音乐
248,100秒,有,有,茫然,会,我想画〖花草吧，虽然好难〗,会〖沙画吧〗,渴望,无,大二,非艺术类专业,女,画画
249,79秒,有,有,我想玩〖架子鼓〗,不会,没有,会〖激烈〗,渴望,无,大二,非艺术类专业,女,无
250,185秒,有,有,我想玩〖长笛、小提琴〗,不会,我想画〖每天看到的风景〗,茫然,渴望,无,大二,非艺术类专业,女,听歌（想去演唱会现场），在家的话会画画、吹笛子。
251,207秒,有,有,我想玩〖尺八〗,不会,我想画〖阴茎〗,会〖媒介简单的〗,不会,无,大二,非艺术类专业,男,"写作 听音乐 尝试冥想 
擤鼻涕 戴耳塞 穿湿的内裤"
252,131秒,有,有,我想玩〖唢呐〗,会,没有,会〖电影〗,渴望,幻想过这种生活〖王家卫〗,大二,非艺术类专业,男,看电影，看艺术展，摄影
253,71秒,有,有,我想玩〖吉他〗,不会,我想画〖动物〗,会〖生活〗,渴望,幻想过这种生活〖悠闲、创意〗,大二,非艺术类专业,女,睁开眼睛
254,61秒,有,无,我想玩〖竹笛〗,会,没有,茫然,不会,无,大二,非艺术类专业,男,摄影摄像
255,87秒,有,有,我想玩〖吉他，钢琴〗,不会,我想画〖建筑，眼睛〗,会〖所有〗,渴望,无,大二,非艺术类专业,男,建筑速写，文学创作，艺术展，旅游
256,89秒,有,无,我想玩〖吉他〗,不会,没有,茫然,渴望,幻想过这种生活〖画家〗,大二,非艺术类专业,女,唱歌、剪辑
257,334秒,有,有,我想玩〖尤克里里〗,会,没有,会〖舞蹈歌唱尤克里里吉他拇指琴〗,渴望,幻想过这种生活〖舞蹈老师〗,大二,非艺术类专业,女,街舞健身
258,170秒,有,有,我想玩〖钢琴〗,会,没有,会〖唱歌类〗,渴望,幻想过这种生活〖岛上种花 逃离焦虑快生活〗,大二,非艺术类专业,女,好像无
259,107秒,有,有,我想玩〖钢琴〗,不会,我想画〖村子〗,茫然,渴望,幻想过这种生活〖大橱窗，小木屋，灵感与知识迸发〗,大二,非艺术类专业,女,随便画个画什么的
260,59秒,无,无,茫然,不会,没有,茫然,不会,无,大二,非艺术类专业,男,电子游戏
261,106秒,有,有,我想玩〖拇指琴〗,不会,我想画〖Idol的肖像〗,会〖音乐   舞蹈〗,渴望,幻想过这种生活〖唱跳歌手〗,大二,非艺术类专业,女,听音乐、看电影
262,87秒,有,有,我想玩〖吉他〗,会,没有,会〖演唱会〗,渴望,无,大一,非艺术类专业,男,听歌，听音乐
263,161秒,有,无,我想玩〖架子鼓〗,不会,我想画〖人〗,会〖摄影〗,不会,幻想过这种生活〖卖唱〗,大四以上,非艺术类专业,女,看别人摄影 听别人拉二胡
264,254秒,有,有,我想玩〖吉他〗,不会,我想画〖临摹一幅喜欢的作品〗,会〖书法、画展〗,渴望,幻想过这种生活〖只要不愁没钱花就行〗,大二,非艺术类专业,女,经常看电影，偶尔练书法，对画展有兴趣
265,62秒,有,有,我想玩〖钢琴〗,会,我想画〖爱豆〗,会〖演唱会〗,渴望,无,大一,非艺术类专业,女,听歌唱歌
266,163秒,有,无,茫然,会,我想画〖画我喜欢的花，人〗,会〖能够直接感知的，尤其是听觉的〗,渴望,幻想过这种生活〖作家或者是画家〗,大二,非艺术类专业,女,自己一个人听歌，随意画画
267,74秒,有,有,我想玩〖吉他〗,不会,我想画〖黑暗世界中的光〗,会〖游戏创作〗,渴望,幻想过这种生活〖是的〗,大一,非艺术类专业,男,玩游戏，音乐，看pixiv
268,124秒,有,有,我想玩〖贝斯〗,会,我想画〖雨〗,会〖音乐剧 话剧etc〗,渴望,幻想过这种生活〖花滑〗,大二,非艺术类专业,女,唱歌跳舞，去听音乐剧话剧
269,67秒,有,无,我想玩〖笛子〗,不会,没有,茫然,渴望,无,大二,非艺术类专业,女,画画
270,62秒,有,无,茫然,不会,我想画〖姑娘〗,茫然,渴望,幻想过这种生活〖画家〗,大一,非艺术类专业,男,口琴
271,66秒,有,有,我想玩〖吉他〗,不会,没有,会〖音乐〗,渴望,无,大二,非艺术类专业,男,弹吉他
272,102秒,有,无,我想玩〖钢琴〗,不会,我想画〖脑海里的某些记忆碎片〗,会〖音乐〗,渴望,无,大一,非艺术类专业,男,听歌
273,124秒,有,有,我想玩〖钢琴、小提琴〗,会,我想画〖纸片人〗,会〖音乐绘画雕刻摄影都挺好〗,渴望,无,大一,非艺术类专业,女,画画
274,93秒,有,无,茫然,会,没有,茫然,不会,无,大二,非艺术类专业,男,吟诗
275,157秒,有,有,我想玩〖笙〗,不会,没有,会〖音乐会 交响独奏都可〗,渴望,无,大一,非艺术类专业,男,练字，钢琴
276,61秒,有,无,我想玩〖吉他〗,不会,没有,茫然,渴望,无,大二,非艺术类专业,女,k歌
277,135秒,有,有,我想玩〖吉他〗,会,没有,会〖演唱〗,不会,无,大二,非艺术类专业,男,无
278,92秒,有,有,茫然,不会,我想画〖所见之景〗,会〖美术〗,渴望,无,大一,非艺术类专业,男,画画
279,217秒,有,有,我想玩〖电子琴〗,不会,没有,会〖和音乐有关的艺术活动〗,渴望,无,大二,非艺术类专业,女,听歌，跳舞，哼歌，刷b站
280,64秒,有,有,我想玩〖钢琴〗,不会,没有,会〖音乐〗,渴望,无,大一,非艺术类专业,女,听歌
281,137秒,有,有,我想玩〖架子鼓〗,不会,我想画〖龙〗,会〖唱歌〗,不会,幻想过这种生活〖歌手〗,大二,非艺术类专业,男,唱歌
282,73秒,有,有,我想玩〖尤克里里〗,不会,我想画〖人〗,会〖歌剧〗,渴望,无,大三,艺术类专业,女,唱歌
283,51秒,无,无,茫然,不会,没有,茫然,不会,无,大一,非艺术类专业,男,看番剧
284,95秒,无,无,我想玩〖箫〗,不会,我想画〖地球〗,会〖画画〗,不会,幻想过这种生活〖画家〗,大一,非艺术类专业,男,无
285,57秒,有,无,茫然,会,没有,茫然,渴望,无,大二,非艺术类专业,女,无
286,150秒,无,有,茫然,不会,我想画〖没想好 总之可以画〗,会〖可以参与的〗,渴望,幻想过这种生活〖花艺师〗,大四以上,非艺术类专业,女,看展，插花，摄影
287,107秒,有,无,我想玩〖架子鼓〗,会,我想画〖大房子〗,茫然,渴望,无,大二,非艺术类专业,女,无
288,32秒,无,无,茫然,会,没有,茫然,不会,无,大二,非艺术类专业,女,无
289,56秒,有,无,我想玩〖钢琴〗,会,没有,茫然,不会,无,大一,非艺术类专业,女,听歌
